number of clients;mean number of rejected;min number of rejected;max number of rejected;mean execution time;min execution time;max execution time;mean cpu usage ldf;min cpu usage ldf;max cpu usage ldf;mean cpu usage nginx;min cpu usage nginx;max cpu usage nginx;mean bandwidth ldf;min bandwidth ldf;max bandwidth ldf;mean bandwidth total;min bandwidth total;max bandwidth total;mean number of requests;min number of requests;max number of requests
5;0;0;0;461.4339229106903;461.4339229106903;461.4339229106903;22.26875;22.26875;22.26875;0.96875;0.96875;0.96875;0.4480000000000075;0.4480000000000075;0.4480000000000075;1.929000000000002;1.929000000000002;1.929000000000002;801;801;801
10;0;0;0;513.5264268875122;513.5264268875122;513.5264268875122;39.6125;39.6125;39.6125;1.7625;1.7625;1.7625;1.04814;1.04814;1.04814;3.3754;3.3754;3.3754;1400;1400;1400
15;1;1;1;577.0083203486034;577.0083203486034;577.0083203486034;22.0125;22.0125;22.0125;3.225;3.225;3.225;0.813724;0.813724;0.813724;5.88308;5.88308;5.88308;2446;2446;2446
20;0;0;0;681.1196531057358;681.1196531057358;681.1196531057358;39.9625;39.9625;39.9625;3.30625;3.30625;3.30625;1.40936;1.40936;1.40936;7.0839;7.0839;7.0839;2931;2931;2931
25;0;0;0;410.2029443359375;410.2029443359375;410.2029443359375;0.7875;0.7875;0.7875;5.6875;5.6875;5.6875;0.110175;0.110175;0.110175;8.76149;8.76149;8.76149;3643;3643;3643
30;1;1;1;448.41717128095956;448.41717128095956;448.41717128095956;39.1375;39.1375;39.1375;5.1125;5.1125;5.1125;1.71153;1.71153;1.71153;10.5409;10.5409;10.5409;4366;4366;4366
35;1;1;1;760.6028729256461;760.6028729256461;760.6028729256461;39.80625;39.80625;39.80625;3.31875;3.31875;3.31875;4.69863;4.69863;4.69863;13.5626;13.5626;13.5626;5618;5618;5618
40;2;2;2;559.7316612381684;559.7316612381684;559.7316612381684;40.5375;40.5375;40.5375;5.125;5.125;5.125;4.43218;4.43218;4.43218;13.8313;13.8313;13.8313;5723;5723;5723
45;2;2;2;493.137547986452;493.137547986452;493.137547986452;41.25;41.25;41.25;3.99375;3.99375;3.99375;4.54738;4.54738;4.54738;14.8852;14.8852;14.8852;6167;6167;6167
50;0;0;0;576.2161333894729;576.2161333894729;576.2161333894729;40.70625;40.70625;40.70625;3.475;3.475;3.475;5.802613;5.802613;5.802613;16.966599999999996;16.966599999999996;16.966599999999996;7032;7032;7032
55;0;0;0;473.2596875060688;473.2596875060688;473.2596875060688;0.16875;0.16875;0.16875;6.625;6.625;6.625;0.0590906;0.0590906;0.0590906;18.2157;18.2157;18.2157;7538;7538;7538
60;1;1;1;575.7923022488417;575.7923022488417;575.7923022488417;40.7125;40.7125;40.7125;3.64375;3.64375;3.64375;7.2094000000000005;7.2094000000000005;7.2094000000000005;19.717699999999997;19.717699999999997;19.717699999999997;8172;8172;8172
65;0;0;0;701.0472533079294;701.0472533079294;701.0472533079294;39.73125;39.73125;39.73125;3.18125;3.18125;3.18125;7.07779;7.07779;7.07779;22.8581;22.8581;22.8581;9461;9461;9461
70;4;4;4;678.7321050997937;678.7321050997937;678.7321050997937;3.225;3.225;3.225;8.3875;8.3875;8.3875;0.449159;0.449159;0.449159;23.4539;23.4539;23.4539;9732;9732;9732
75;1;1;1;574.8946179602597;574.8946179602597;574.8946179602597;41.21875;41.21875;41.21875;6.04375;6.04375;6.04375;4.19822;4.19822;4.19822;26.2782;26.2782;26.2782;10884;10884;10884
80;2;2;2;677.7282898242657;677.7282898242657;677.7282898242657;41.14375;41.14375;41.14375;5.175;5.175;5.175;6.75058;6.75058;6.75058;28.0664;28.0664;28.0664;11629;11629;11629
85;2;2;2;992.4941562543432;992.4941562543432;992.4941562543432;40.9875;40.9875;40.9875;5.475;5.475;5.475;8.33605;8.33605;8.33605;30.7564;30.7564;30.7564;12714;12714;12714
